name,allyCode,shipGP,characterGP,territoryPointsContributed,platoonMissionUnitsAssigned,combatMissionWavesCompleted,rogueActions,currentRoundTerritoryPoints,currentRoundGpDeployed,currentRoundCombatMissions,currentRoundSpecialMissions,deployedShips,deployedCharacters,playerPlatoonedShipGp,playerPlatoonedCombatGp,missionsCharacters,missionsShips,minEstimatedCombatDeploymentRemaining,minEstimatedShipDeploymentRemaining,unknownDeploymentPowerRemaining,Ch 1,Ch 2,Ch 3,Ch 4,Fl 1
Larping Soccer Moms,962753997,1393012,1838762,19163807,5,22,0,7275754,3251654,4,0,true,true,0,20904,false,true,0,0,0,1,,4,,1
Zhil Axfow,826592934,2662017,3378157,22103740,13,9,0,3663295,3229295,2,0,true,false,0,32262,false,false,2810879,0,0,1,,,,
Wolfman,998737698,2074188,2401462,21715197,14,6,0,6298274,4498274,3,0,true,true,0,19097,false,true,0,0,0,,,,,1
Guntha Arbos,248271439,2438866,3527983,21275685,18,0,2,3503454,3503454,0,0,true,false,0,26199,false,false,2463395,0,0,,,,,
DorkHelmet,987949222,2498340,2742836,21425468,12,8,0,5970343,5266343,3,0,true,true,0,57517,false,false,0,0,0,2,,,,
ExcellentNutAlt,439645938,1021112,1441931,9178390,23,0,0,2468889,2468889,2,0,true,true,0,49259,false,false,0,0,0,,,,,
Philo Beddoe,753225541,2411841,3067709,26874073,10,15,0,6412659,5497459,1,1,true,true,0,13105,false,false,0,0,0,,,2,,
Loadage,268951863,2374029,2962907,36790097,10,33,0,9080895,5350945,4,1,true,true,0,24107,false,true,0,0,0,3,,2,,1
Nydot,992622296,1144038,1690421,13293760,32,7,0,2844782,2844782,1,0,true,true,0,4656,false,false,0,0,0,,,,,
BabyYodaHitta,629856937,1066239,1623441,10941345,21,3,0,2696988,2696988,0,1,true,true,0,31314,false,false,0,0,0,,,,,
Thegreatplant,416181267,2174824,2718804,26479692,36,11,0,6710574,4910574,2,0,true,true,0,27760,false,true,0,0,0,,,,,1
ilekkund2,148163689,1999396,2449685,32303402,7,30,1,9063657,4458807,4,1,true,true,0,26874,false,true,0,0,0,3,,4,,1
Spectrum,411242948,1967172,2342045,21443535,18,16,1,5929032,4309832,3,0,true,true,0,0,false,false,0,0,0,2,,2,,
Higgs,265535499,2142106,3092055,24902450,1,11,0,6683422,5234672,3,0,true,true,0,0,false,false,0,0,0,1,3,,,
MINI xipokemastrix,242144976,1602891,2335619,18458760,33,12,0,3937544,3937544,2,1,true,true,0,129276,false,false,0,0,0,,,,,
The Wall,947443938,1871347,2821419,23123940,10,19,0,5416208,4712208,2,1,true,true,0,13968,false,false,0,0,0,2,,,,
Elyana,967665728,2309433,3235156,26371112,2,19,0,3413687,2498487,3,0,true,false,0,0,false,false,3046102,0,0,,,2,,
TacoPizza,797491243,2020461,2958068,23494946,6,11,0,4996309,4996309,0,1,true,true,0,9312,false,false,0,0,0,,,,,
GANIC,357417789,1805714,2747182,27084246,6,26,0,6956007,4564257,3,1,true,true,0,12856,false,false,0,0,0,3,4,,,
Vsarr,789134798,1947731,2625676,18309714,15,0,0,4578722,4578722,0,0,true,true,0,49705,false,false,0,0,0,,,,,
Kypomm,631928359,2605267,3524754,25108020,5,2,0,6144082,6144082,0,0,true,true,0,26638,false,false,0,0,0,,,,,
Dark Penguin,894569678,1690566,2231512,16478855,31,5,0,3933415,3933415,2,0,true,true,0,164353,false,false,0,0,0,,,,,
Obi Won Sebroni,247341668,1082426,1869829,12416947,23,1,0,2978476,2978476,1,0,true,true,0,56836,false,false,0,0,0,,,,,
Masajj Vemtits,596537312,2409662,3303786,30436108,6,23,0,10278915,5724915,3,1,true,true,0,20080,false,true,0,0,0,4,4,,,1
MINICalens,499477827,2268737,3496485,31734073,4,31,0,8767861,5771661,4,0,true,true,0,13464,false,false,0,0,0,2,4,2,,
Tommy,225191489,1065932,1993116,12639192,13,1,0,3059048,3059048,0,0,true,true,0,26116,false,false,0,0,0,,,,,
Wolfman314,144353549,2625697,3454128,37039327,2,36,0,4566277,2766277,1,1,true,false,0,0,false,true,3313548,0,0,,,,,1
AKB,461667365,2292262,3280829,37515448,9,38,0,9436108,5582908,4,1,true,true,0,26016,false,true,0,0,0,1,2,2,,1
Quinton Samulson,334914382,1611492,2290438,19894073,16,8,2,6174228,3940228,3,0,true,true,0,35935,false,true,0,0,0,1,,,,1
