Name,Ally Code,Territory Points Total,Territory Points Phase 1,Territory Points Phase 2,Territory Points Phase 3,Territory Points Phase 4,Mission Attempts Phase 1,Mission Attempts Phase 2,Mission Attempts Phase 3,Mission Attempts Phase 4,Mission Waves Total,Mission Waves Phase 1,Mission Waves Phase 2,Mission Waves Phase 3,Mission Waves Phase 4,P1 Ground 403000_573500_840000_1155000 [1],P1 Ground 403000_573500_840000_1155000 [2],P1 Ground 403000_573500_840000_1155000 [3],P1 Ground 523900_745550_1092000_1501500 [1],P1 Fleet 523900 [1],P2 Ground 434000_704000_1014750_1377000 [1],P2 Ground 434000_704000_1014750_1377000 [2],P2 Ground 434000_704000_1014750_1377000 [3],P2 Ground 434000_704000_1014750_1377000 [4],P2 Ground 564200_915200_1319175_1790100 [1],P2 Fleet 900000 [1],P3 Ground 464000_775500_1105000_1627500 [1],P3 Ground 464000_775500_1105000_1627500 [2],P3 Ground 464000_775500_1105000_1627500 [3],P3 Ground 603200_1008150_1436500_2115750 [1],P3 Fleet 1800000 [1],P4 Ground 511500_867000_1242500_1837500 [1],P4 Ground 511500_867000_1242500_1837500 [2],P4 Ground 511500_867000_1242500_1837500 [3],P4 Ground 867000_1837500 [1],P4 Ground 664950_1127100_1615250_2388750 [1],P4 Fleet 1800000 [1],Platoons Assigned Total,Platoons Assigned Phase 1,Platoons Assigned Phase 2,Platoons Assigned Phase 3,Platoons Assigned Phase 4,Rogue Actions Total,Rogue Actions Phase 1,Rogue Actions Phase 2,Rogue Actions Phase 3,Rogue Actions Phase 4
Revanchist,852762117,52120666,11557864,14014258,11286497,15262047,5,6,4,6,60,15,19,11,15,2,4,4,4,1,3,4,4,4,3,1,1,3,4,3,0,3,3,4,1,3,1,24,5,11,4,4,0,0,0,0,0
Zhil Axfow,826592934,39311382,11352242,11662328,8458639,7838173,5,5,4,3,39,13,10,9,7,4,4,4,0,1,1,3,4,0,1,1,3,4,0,2,0,3,0,0,1,3,0,19,2,6,6,5,0,0,0,0,0
JustinAlexander11,283842274,41405175,9897501,12785647,9441884,9280143,2,5,4,5,45,8,14,11,12,4,4,0,0,0,3,3,4,0,4,0,3,4,4,0,0,2,3,4,0,3,0,13,13,0,0,0,0,0,0,0,0
Kal Sec,348768169,56483154,13699372,13738228,15610265,13435289,5,6,4,5,62,16,14,16,16,4,4,4,3,1,1,3,4,4,2,0,4,4,4,4,0,3,4,4,2,3,0,11,1,8,1,1,0,0,0,0,0
Promethean,245711569,48340651,10874222,13180456,10705947,13580026,4,5,4,5,61,14,18,15,14,2,4,4,4,0,2,4,4,4,4,0,3,4,4,4,0,2,4,4,1,3,0,4,2,0,1,1,1,0,1,0,0
Jables,996614779,51226048,13022531,14470784,11830854,11901879,5,6,4,5,67,17,19,16,15,4,4,4,4,1,3,4,4,4,4,0,4,4,4,4,0,3,3,4,1,4,0,3,0,2,0,1,0,0,0,0,0
TWill88,494485598,41707527,12246077,12536047,8246645,8678758,5,4,4,5,47,16,13,8,10,3,4,4,4,1,4,4,0,0,4,1,4,0,0,4,0,3,4,0,0,3,0,5,1,0,1,3,0,0,0,0,0
Jed1Mast3rDallas,484789943,37668079,7552283,6698663,11725413,11691720,4,5,5,5,51,12,16,12,11,3,4,4,0,1,2,3,3,4,4,0,2,2,4,4,0,3,3,3,1,1,0,15,2,9,4,0,2,0,0,2,0
Guntha Arbos,248271439,38690706,10311833,12776791,8334492,7267590,5,6,4,5,33,8,13,7,5,2,4,0,1,1,3,4,4,0,1,1,3,0,0,4,0,3,0,0,1,1,0,21,7,5,6,3,0,0,0,0,0
Tommyboy85,929389526,57437332,12563671,13708140,14130996,17034525,5,6,4,6,64,16,17,15,16,4,4,4,4,0,3,4,4,4,2,0,3,4,4,4,0,3,3,4,1,4,1,26,13,1,8,4,0,0,0,0,0
wamakima5004,556569861,32583528,4139439,8438035,7513571,12492483,4,3,3,5,29,10,4,7,8,2,4,0,4,0,4,0,0,0,0,0,2,4,0,1,0,3,0,0,0,4,1,16,7,4,0,5,0,0,0,0,0
Philo Beddoe,753225541,46924200,9987651,13278912,8165196,15492441,3,5,3,6,44,8,15,8,13,4,0,0,4,0,4,4,4,0,2,1,4,0,0,4,0,3,4,0,1,4,1,17,4,6,6,1,0,0,0,0,0
Loadage,268951863,60061827,13172157,15890059,11760112,19239499,5,6,4,6,72,17,21,15,19,4,4,4,4,1,4,4,4,4,4,1,3,4,4,4,0,4,4,4,2,4,1,24,6,3,13,2,2,0,1,0,1
ilekkund,214848174,48259644,14008395,14137404,9536331,10577514,5,6,4,5,50,17,14,9,10,4,4,4,4,1,2,2,3,4,2,1,2,3,0,4,0,2,3,0,2,3,0,25,10,15,0,0,1,0,0,1,0
ilekkund2,148163689,42931276,10816500,11996715,10030959,10087102,5,6,4,5,55,14,14,15,12,2,4,4,3,1,2,4,4,0,3,1,3,4,4,4,0,3,4,0,2,3,0,17,1,16,0,0,1,0,0,1,0
popadopiles,379389717,32351262,8156302,9377129,5630872,9186959,5,5,3,6,29,9,11,4,5,4,4,0,0,1,2,3,3,0,3,0,0,0,0,4,0,2,0,0,0,2,1,27,6,1,14,6,0,0,0,0,0
Raion Ren,619572297,45896480,11915904,11442023,14001509,8537044,5,3,4,4,35,10,8,12,5,2,4,0,4,0,4,4,0,0,0,0,1,3,4,4,0,2,0,0,2,1,0,38,22,0,0,16,2,0,0,1,1
MINI xipokemastrix,242144976,42269279,9320677,9160417,10386838,13401347,5,6,4,6,51,12,15,11,13,4,4,0,4,0,1,4,4,4,1,1,3,4,0,4,0,2,2,4,1,3,1,65,19,22,22,2,0,0,0,0,0
Flywire,515621617,44115428,12059519,10668849,8855668,12531392,5,4,3,4,49,17,11,10,11,4,4,4,4,1,1,4,4,0,2,0,3,3,0,4,0,2,4,0,1,4,0,23,6,4,9,4,1,1,0,0,0
TacoPizza,797491243,39269145,10146133,10964904,10142093,8016015,4,4,3,3,37,11,11,8,7,2,4,0,4,1,4,4,0,0,2,1,4,0,0,4,0,3,0,0,2,2,0,6,0,2,1,3,0,0,0,0,0
NoItsBecky,732694944,49507252,8643407,15501201,14187355,11175289,5,6,4,5,56,13,19,13,11,1,4,4,4,0,3,4,4,4,4,0,2,3,4,4,0,1,1,4,1,4,0,42,12,5,19,6,1,0,0,1,0
BigMacDbag,931355241,48573790,11452842,13213292,9592485,14315171,5,5,4,5,59,16,19,12,12,3,4,4,4,1,3,4,4,4,4,0,4,4,0,4,0,2,4,0,2,3,1,12,6,0,4,2,0,0,0,0,0
