name,allyCode,shipGP,characterGP,territoryPointsContributed,platoonMissionUnitsAssigned,combatMissionWavesCompleted,rogueActions,currentRoundTerritoryPoints,currentRoundGpDeployed,currentRoundCombatMissions,currentRoundSpecialMissions,deployedShips,deployedCharacters,playerPlatoonedShipGp,playerPlatoonedCombatGp,missionsCharacters,missionsShips,minEstimatedCombatDeploymentRemaining,minEstimatedShipDeploymentRemaining,unknownDeploymentPowerRemaining,Ch 1,Ch 2,Ch 3,Ch 4,Fl 1
Doomslug the Destroyer,549766237,1355787,1945742,4401037,7,3,0,4401037,3303637,3,0,true,true,25068,67226,false,false,0,0,0,,,,,
Larping Soccer Moms,962753997,1391919,1828299,4317618,3,3,0,4317618,3220218,4,0,true,true,0,47928,false,false,0,0,0,,,,,
Zhil Axfow,826592934,2653705,3357426,599279,5,0,0,599279,599279,4,0,false,false,45142,33551,false,false,2758147,2054426,599279,,,,,
Wolfman,998737698,2054642,2359165,2904627,13,1,0,2904627,2380727,3,0,true,false,157572,111008,false,false,2033080,0,0,,,,,
Guntha Arbos,248271439,2432043,3478636,6434789,0,1,0,6434789,5910889,3,0,true,true,0,0,false,false,0,0,0,,,,,
DorkHelmet,987949222,2481181,2725559,5780834,5,2,0,5780834,5207334,5,0,true,true,116661,41570,true,true,0,0,0,2,0,0,0,0
ExcellentNutAlt,439645938,1003949,1404646,219845,11,0,0,219845,219845,0,0,false,false,126346,93387,false,false,1184801,784104,219845,,,,,
Philo Beddoe,753225541,2373083,3018066,6780653,5,4,0,6780653,5416753,4,0,true,true,0,39741,false,false,0,0,0,,,,,
MINI Loadage,268951863,2350372,2885707,5735793,9,8,0,5735793,2876893,5,0,true,false,253691,36806,true,true,2359186,0,0,1,3,0,3,1
Nydot,992622296,1100338,1662554,338618,11,0,0,338618,338618,0,0,false,false,312803,25815,false,false,1323936,761720,338618,,,,,
BabyYodaHitta,629856937,1029202,1551088,659603,7,1,0,659603,256603,1,0,false,false,60022,49238,false,false,1294485,772599,256603,1,,,,
II Xogall the Lesser II,438887383,2722861,3655478,7534820,4,4,0,7534820,6379820,5,0,true,true,47619,38758,true,true,0,0,0,4,0,0,0,0
Spectrum,411242948,1937460,2240701,5530905,5,4,0,5530905,4211855,3,0,true,true,0,55704,false,false,0,0,0,2,,,2,
ilekkund2,148163689,1970226,2348825,6085998,3,5,0,6085998,4319098,5,0,true,true,137152,0,true,true,0,0,0,0,0,0,0,0
FreePlayAllDay,913688669,1882224,2770875,2716350,1,1,0,2716350,2192450,3,0,true,false,0,28432,false,false,2460649,0,0,,,,,
Higgs,265535499,2130416,3067041,1324158,0,1,0,1324158,921158,4,0,false,false,0,0,false,false,2145883,1209258,921158,1,,,,
MINI xipokemastrix,242144976,1489965,2304094,2908908,13,3,0,2908908,2068908,5,0,true,false,0,149555,true,true,1725151,0,0,3,0,0,0,0
TacoPizza,797491243,1990059,2861453,5691722,1,3,0,5691722,4851722,2,0,true,true,0,4656,false,false,0,0,0,3,,,,
Elyana,967665728,2246998,3179226,6479471,0,2,0,6479471,5431671,4,0,true,true,0,0,false,true,0,0,0,,,,1,1
GANIC,357417789,1742544,2680097,5537693,4,3,0,5537693,4440293,5,0,true,true,31187,39350,true,true,0,0,0,0,0,0,0,0
Vsarr,789134798,1935761,2600415,2261812,15,0,0,2261812,2261812,3,0,true,false,166416,104210,false,false,2274364,0,0,,,,,
Kypomm,631928359,2595973,3466009,2743819,2,0,0,2743819,2743819,1,0,true,false,45142,13261,false,false,3318163,0,0,,,,,
Dark Penguin,894569678,1684931,2182130,4989439,17,3,0,4989439,3897439,2,0,true,true,129180,183992,false,false,0,0,0,,,,3,
Obi Won Sebroni,247341668,1051056,1765557,3341575,12,1,0,3341575,2817675,2,0,true,true,167627,60393,false,false,0,0,0,,,,,
MINICalens,499477827,2245417,3456555,8357768,3,8,1,8357768,5702368,5,0,true,true,0,32950,true,true,0,0,0,0,0,0,0,0
Masajj Vemtits,596537312,2401078,3280894,2958726,3,1,0,2958726,2434826,1,0,true,false,45142,33748,false,false,3247146,0,0,,,,,
Tommy,225191489,1062650,1975241,3561791,15,1,0,3561791,3037891,2,0,true,true,365754,62326,false,false,0,0,0,,,,,
Wolfman314,144353549,2616952,3434999,2756008,9,0,0,2756008,2756008,1,0,true,false,88610,139056,false,false,3295943,0,0,,,,,
AKB,461667365,2277643,3248051,5118260,7,8,0,5118260,2808260,5,0,true,false,183238,20103,true,true,2717434,0,0,4,4,0,0,0
SloppySaberFlavor,671337993,2327686,3246518,2775854,3,4,0,2775854,1224304,5,0,false,false,87372,13272,true,true,2022214,1103382,1224304,1,1,0,2,0
Quinton Samulson,334914382,1539243,2233852,4870495,6,3,0,4870495,3773095,4,0,true,true,54131,46729,false,false,0,0,0,,,,,
Seamonster34,569479871,1325996,2008920,1445136,10,0,0,1445136,1445136,1,0,true,false,0,117405,false,false,1889780,0,0,,,,,
Corran Horn,159984528,1775103,2612432,1914481,0,0,2,1914481,1914481,2,0,true,false,0,0,false,false,2473054,0,0,,,,,
Indeedus,636721338,1789508,2808595,2095405,2,0,0,2095405,2095405,2,0,true,false,0,42683,false,false,2502698,0,0,,,,,
HiddenWolf,869432175,2419361,3238729,88791,3,0,0,88791,88791,0,0,false,false,51388,37403,false,false,3149938,2330570,88791,,,,,
LGuy 21,261187434,2414338,3484731,6664242,4,11,0,6664242,2910342,4,0,true,false,50254,68467,false,true,2988727,0,0,2,4,,4,1
Theflavorgreen,416984533,1764397,2872965,3306088,7,3,0,3306088,2208688,3,0,true,false,0,138890,false,false,2428674,0,0,,,,,
T swizzle,335186653,1232194,1900100,3141740,6,0,0,3141740,3141740,4,0,true,true,61015,64521,false,false,0,0,0,,,,,
Argarax,545871634,1584342,2649451,3412582,3,4,0,3412582,1796682,2,0,true,false,0,47764,false,true,2437111,0,0,,,,3,1
MINI Stewabob,552522334,1287795,1795286,2977693,5,4,0,2977693,1734693,4,0,true,false,0,62619,false,false,1348388,0,0,1,3,,,
Baxston Kane,473373554,2554718,3629999,8392137,1,7,0,8392137,6188237,4,0,true,true,0,13140,false,false,0,0,0,,,,,
Maxaron Lexilon,591283737,2680409,3447704,5863476,1,7,1,5863476,3257676,5,0,true,false,0,14958,true,true,2870437,0,0,1,4,0,1,1
Greeve,988959612,2477193,3667577,7292284,1,4,0,7292284,6145284,5,0,true,true,0,12465,true,true,0,0,0,2,2,0,0,0
starshaker,343886585,2248886,2787215,2015610,14,4,0,2015610,651710,2,0,false,false,268426,116260,false,false,2135505,1597176,651710,,,,,
Elladan Halfelven,231363518,2675471,3645960,8754705,4,7,0,8754705,6330255,4,0,true,true,172458,10170,false,true,0,0,0,4,,,2,1
Neeb,648797678,2284977,3233106,5532728,4,0,0,5532728,5532728,5,0,true,true,161498,13144,false,false,0,0,0,,,,,
ONE,873729113,2448793,3563188,7109381,0,3,0,7109381,6011981,5,0,true,true,0,0,true,true,0,0,0,0,0,0,0,0
M1TTH,124849497,1963475,2518071,6816546,0,7,0,6816546,4481546,4,0,true,true,0,0,false,false,0,0,0,1,3,,3,
Diesel87,626734493,1582609,2595474,1582609,0,0,0,1582609,1582609,0,0,true,false,0,0,false,false,2595474,0,0,,,,,
