name,allyCode,shipGP,characterGP,territoryPointsContributed,platoonMissionUnitsAssigned,combatMissionWavesCompleted,rogueActions,currentRoundTerritoryPoints,currentRoundGpDeployed,currentRoundCombatMissions,currentRoundSpecialMissions,deployedShips,deployedCharacters,playerPlatoonedShipGp,playerPlatoonedCombatGp,missionsCharacters,missionsShips,minEstimatedCombatDeploymentRemaining,minEstimatedShipDeploymentRemaining,unknownDeploymentPowerRemaining,Ch 1,Ch 2,Ch 3,Ch 4,Fl 1
Obi Won Sebroni,247341668,1590506,2355230,17190513,12,16,0,5458969,3980219,2,1,TRUE,TRUE,0,102132,FALSE,FALSE,0,0,0,3,,,1,
Gryphix,997239157,2784990,4002546,25805275,2,24,0,9004707,6787532,4,2,TRUE,TRUE,0,0,FALSE,FALSE,0,0,0,1,,3,1,
Wolfman314,144353549,2689283,3634047,20678135,6,24,1,5195587,2903387,2,1,TRUE,FALSE,0,0,FALSE,FALSE,3419943,0,0,4,,2,,
Zhil Axfow,826592934,2810079,3526984,23233338,8,11,0,7496544,6358544,2,2,TRUE,TRUE,0,57373,FALSE,FALSE,0,0,0,1,2,,,
Revanche Gilder,926679294,2504599,3331155,29575371,31,35,0,9422142,5711217,3,1,TRUE,FALSE,0,23139,FALSE,FALSE,124537,0,0,3,4,3,,
Exeel,184344456,2731825,3730777,34739103,17,43,1,12672243,6500643,4,2,TRUE,TRUE,0,0,TRUE,FALSE,0,0,0,4,4,4,4,
Agave,148199846,2577874,3431303,30207992,41,33,2,10791770,6034095,4,2,TRUE,TRUE,0,67828,TRUE,FALSE,0,0,0,1,4,3,4,
Loadage,268951863,2555621,3388867,32554221,15,42,1,10286177,5951077,5,2,TRUE,TRUE,0,31216,TRUE,TRUE,0,0,0,2,4,4,1,0
ilekkund,214848174,3130261,4257666,33132241,33,31,2,10602772,7435672,3,2,TRUE,TRUE,0,129007,FALSE,FALSE,0,0,0,4,,4,,
Theflavorgreen,416984533,2020087,3263022,17997249,6,6,0,5739600,5305600,1,1,TRUE,TRUE,0,0,FALSE,FALSE,0,0,0,1,,,,
ilekkund2,148163689,2278990,2774465,25054673,31,27,0,8221421,5054321,3,1,TRUE,TRUE,0,82407,FALSE,FALSE,0,0,0,4,,4,,
MINI xipokemastrix,242144976,1811592,2510607,17611958,28,16,0,4359972,2982972,1,2,TRUE,FALSE,0,29953,FALSE,FALSE,1339227,0,0,4,,,,
Flywire,515621617,2271954,3281748,23476070,25,38,2,8583225,3286525,4,0,TRUE,FALSE,0,55724,TRUE,FALSE,2267177,0,0,4,4,2,4,
TacoPizza,797491243,2121437,3178838,19661920,1,19,0,3661760,2284760,1,1,TRUE,FALSE,0,0,FALSE,FALSE,3015515,0,0,4,,,,
Maxaron Lexilon,591283737,2891935,3726727,17606154,6,11,1,150034,150034,0,1,FALSE,FALSE,0,0,FALSE,FALSE,3576693,2741901,150034,,,,,
Neeb,648797678,2374304,3469977,22536738,1,16,0,6994297,5856297,3,2,TRUE,TRUE,0,0,FALSE,FALSE,0,0,0,1,2,,,
Sultan2309,938542548,1720368,2906121,21224736,22,22,0,7806189,4639089,2,2,TRUE,TRUE,0,47746,FALSE,FALSE,0,0,0,4,,4,,
PadawanTano,584733846,1301677,1754553,17410530,36,26,0,5397817,2267642,3,2,TRUE,FALSE,0,128038,FALSE,FALSE,788588,0,0,1,4,3,,
