Name,Ally Code,Territory Points Total,Territory Points Phase 1,Territory Points Phase 2,Territory Points Phase 3,Territory Points Phase 4,Mission Attempts Phase 1,Mission Attempts Phase 2,Mission Attempts Phase 3,Mission Attempts Phase 4,Mission Waves Total,Mission Waves Phase 1,Mission Waves Phase 2,Mission Waves Phase 3,Mission Waves Phase 4,P1 Ground 403000_573500_840000_1155000 [1],P1 Ground 403000_573500_840000_1155000 [2],P1 Ground 403000_573500_840000_1155000 [3],P1 Ground 523900_745550_1092000_1501500 [1],P1 Fleet 523900 [1],P2 Ground 434000_704000_1014750_1377000 [1],P2 Ground 434000_704000_1014750_1377000 [2],P2 Ground 434000_704000_1014750_1377000 [3],P2 Ground 434000_704000_1014750_1377000 [4],P2 Ground 564200_915200_1319175_1790100 [1],P2 Fleet 900000 [1],P3 Ground 464000_775500_1105000_1627500 [1],P3 Ground 464000_775500_1105000_1627500 [2],P3 Ground 464000_775500_1105000_1627500 [3],P3 Ground 603200_1008150_1436500_2115750 [1],P3 Fleet 1800000 [1],P4 Ground 511500_867000_1242500_1837500 [1],P4 Ground 511500_867000_1242500_1837500 [2],P4 Ground 511500_867000_1242500_1837500 [3],P4 Ground 867000_1837500 [1],P4 Ground 664950_1127100_1615250_2388750 [1],P4 Fleet 2750000 [1],Platoons Assigned Total,Platoons Assigned Phase 1,Platoons Assigned Phase 2,Platoons Assigned Phase 3,Platoons Assigned Phase 4,Rogue Actions Total,Rogue Actions Phase 1,Rogue Actions Phase 2,Rogue Actions Phase 3,Rogue Actions Phase 4
WookieeWarrior,572892187,61725799,12738164,15384730,16369681,17233224,4,5,5,5,68,15,20,16,17,3,4,4,4,0,4,4,4,4,4,0,3,4,4,4,1,3,4,4,2,4,0,46,6,20,0,20,0,0,0,0,0
Obi Won Sebroni,247341668,52194060,11776574,13904103,13086930,13426453,5,5,5,5,68,16,20,15,17,3,4,4,4,1,4,4,4,4,4,0,3,4,4,4,0,4,4,4,2,3,0,52,17,13,18,4,1,1,0,0,0
Promethean,245711569,55817481,11957345,14047443,14391018,15421675,5,5,5,5,62,14,19,13,16,1,4,4,4,1,4,4,4,4,3,0,4,4,0,4,1,3,4,4,1,4,0,11,10,0,1,0,0,0,0,0,0
Ky Zeth,615713739,48868921,13535533,6335458,13642377,15355553,5,2,3,5,41,14,5,10,12,3,4,4,2,1,4,0,0,0,0,1,2,4,0,4,0,2,2,3,1,4,0,59,9,12,8,30,0,0,0,0,0
MINI Azryl,932489599,61065382,13254956,15393622,16906126,15510678,5,6,5,5,68,16,20,17,15,3,4,4,4,1,4,4,4,4,4,0,4,4,4,4,1,3,4,4,1,3,0,10,5,2,1,2,0,0,0,0,0
MarkKenoburger,513125742,54421965,11314569,13426936,14404586,15275874,5,5,5,5,69,16,20,16,17,3,4,4,4,1,4,4,4,4,4,0,3,4,4,4,1,3,4,4,2,4,0,1,0,0,0,1,0,0,0,0,0
Jed1Mast3rDallas,484789943,48158527,9026276,13921941,12299691,12910619,4,5,4,6,63,15,19,12,17,3,4,4,4,0,3,4,4,4,4,0,1,3,4,4,0,3,4,4,2,4,0,9,5,0,2,2,0,0,0,0,0
Dr N00b,436483225,58999391,12742979,14905846,14973006,16377560,4,6,5,6,52,11,15,13,13,4,4,0,3,0,3,4,4,0,4,0,2,3,4,4,0,2,2,4,2,3,0,11,6,0,3,2,1,0,1,0,0
ìN Paca,114649229,65257244,14567643,16913961,17882682,15892958,5,6,5,5,68,17,20,17,14,4,4,4,4,1,3,4,4,4,4,1,4,4,4,4,1,3,3,4,1,3,0,15,3,6,2,4,2,0,0,1,1
Tommyboy85,929389526,63838058,13678064,15148983,17023474,17987537,5,6,5,6,66,17,18,17,14,4,4,4,4,1,3,4,4,4,2,1,4,4,4,4,1,1,3,4,2,3,1,52,11,1,30,10,0,0,0,0,0
