name,allyCode,shipGP,characterGP,territoryPointsContributed,platoonMissionUnitsAssigned,combatMissionWavesCompleted,rogueActions,currentRoundTerritoryPoints,currentRoundGpDeployed,currentRoundCombatMissions,currentRoundSpecialMissions,deployedShips,deployedCharacters,playerPlatoonedShipGp,playerPlatoonedCombatGp,missionsCharacters,missionsShips,minEstimatedCombatDeploymentRemaining,minEstimatedShipDeploymentRemaining,unknownDeploymentPowerRemaining,Ch 1,Ch 2,Ch 3,Ch 4,Fl 1
Obi Won Sebroni,247341668,1471120,2230915,11388917,34,12,1,5905390,3735640,4,0,TRUE,TRUE,350053,241927,FALSE,FALSE,0,0,0,4,,3,,
Doomslug the Destroyer,549766237,1837038,2398288,11236223,7,9,0,5405608,4250608,4,0,TRUE,TRUE,142015,56502,FALSE,FALSE,0,0,0,4,,,,
Zhil Axfow,826592934,2778494,3486141,14000560,8,4,0,7301340,6286590,3,0,TRUE,TRUE,136468,14773,FALSE,FALSE,0,0,0,,,3,,
JustinAlexander11,283842274,2184460,3447223,18190520,7,20,1,9288167,5644167,5,0,TRUE,TRUE,123349,58653,TRUE,TRUE,0,0,0,4,4,1,0,1
Revanche Gilder,926679294,2430392,3199746,18420331,26,20,0,10027362,5755362,4,0,TRUE,TRUE,191425,67546,FALSE,TRUE,0,0,0,3,4,4,,1
Tommyboy85,929389526,2704755,3604240,23400563,24,32,0,11914938,6313188,5,0,TRUE,TRUE,90284,42084,TRUE,TRUE,0,0,0,4,4,3,4,1
Philo Beddoe,753225541,2546519,3284678,14060604,12,8,0,7389407,5831407,5,0,TRUE,TRUE,232955,42143,TRUE,TRUE,0,0,0,1,4,0,0,0
ilekkund,214848174,3071870,4209072,24758284,34,30,0,11986942,7280942,5,0,TRUE,TRUE,306113,233625,TRUE,TRUE,0,0,0,3,4,1,4,1
ilekkund2,148163689,2127735,2669652,16700633,23,19,0,7919613,4849863,5,0,TRUE,TRUE,257236,88322,TRUE,TRUE,0,0,0,4,0,3,0,1
Argarax,545871634,2029943,3183194,17786830,8,20,0,8796524,5245524,4,0,TRUE,TRUE,0,88121,FALSE,TRUE,0,0,0,,,,,0
MINI Stewabob,552522334,1447034,2061001,11543782,5,11,0,5429539,3514789,3,0,TRUE,TRUE,28504,40118,FALSE,TRUE,0,0,0,,,3,,1
MINI xipokemastrix,242144976,1737983,2457443,12290507,16,10,0,6399742,4222242,4,0,TRUE,TRUE,152353,102901,FALSE,TRUE,0,0,0,2,,2,,1
