Name,Ally Code,Territory Points Total,Territory Points Phase 1,Territory Points Phase 2,Territory Points Phase 3,Territory Points Phase 4,Mission Attempts Phase 1,Mission Attempts Phase 2,Mission Attempts Phase 3,Mission Attempts Phase 4,Mission Waves Total,Mission Waves Phase 1,Mission Waves Phase 2,Mission Waves Phase 3,Mission Waves Phase 4,P1 Ground 403000_573500_840000_1155000 [1],P1 Ground 403000_573500_840000_1155000 [2],P1 Ground 403000_573500_840000_1155000 [3],P1 Ground 523900_745550_1092000_1501500 [1],P1 Fleet 523900 [1],P2 Ground 434000_704000_1014750_1377000 [1],P2 Ground 434000_704000_1014750_1377000 [2],P2 Ground 434000_704000_1014750_1377000 [3],P2 Ground 434000_704000_1014750_1377000 [4],P2 Ground 564200_915200_1319175_1790100 [1],P2 Fleet 900000 [1],P3 Ground 464000_775500_1105000_1627500 [1],P3 Ground 464000_775500_1105000_1627500 [2],P3 Ground 464000_775500_1105000_1627500 [3],P3 Ground 603200_1008150_1436500_2115750 [1],P3 Fleet 1800000 [1],P4 Ground 511500_867000_1242500_1837500 [1],P4 Ground 511500_867000_1242500_1837500 [2],P4 Ground 511500_867000_1242500_1837500 [3],P4 Ground 867000_1837500 [1],P4 Ground 664950_1127100_1615250_2388750 [1],P4 Fleet 2750000 [1],Platoons Assigned Total,Platoons Assigned Phase 1,Platoons Assigned Phase 2,Platoons Assigned Phase 3,Platoons Assigned Phase 4,Rogue Actions Total,Rogue Actions Phase 1,Rogue Actions Phase 2,Rogue Actions Phase 3,Rogue Actions Phase 4
Robbie Brady,349451219,50281583,9124907,5198035,14977831,14932976,4,2,5,5,48,13,4,19,12,2,3,4,4,0,4,0,0,0,0,0, ?, ?, ?, ?, ?,2,2,3,2,3,0,29,2,1,4,22,0,0,0,0,0
Promethean,245711569,53524290,11135827,13857177,13569577,14961709,4,5,5,5,60,13,19,12,16,1,4,4,4,0,3,4,4,4,4,0,3,4,0,4,1,4,4,4,1,3,0,14,7,0,7,0,0,0,0,0,0
Seeya,569523671,44555788,10962722,9548979,13184048,10860039,4,2,4,2,37,12,7,10,8,4,4,0,4,0,3,4,0,0,0,0,1,4,0,4,1,4,4,0,0,0,0,11,7,2,0,2,0,0,0,0,0
Dr N00b,436483225,57396987,12990205,12041580,16934415,15346456,5,5,5,5,58,12,20,15,11,4,4,0,4,0,4,4,4,4,4,0,3,3,4,4,1,2,4,0,2,3,0,7,2,1,2,2,1,0,0,1,0
Jed1Mast3rDallas,484789943,43754142,7737456,7369966,15643567,13003153,4,2,5,5,48,11,8,17,12,1,3,4,3,0,4,4,0,0,0,0,4,4,4,4,1,4,4,0,1,3,0,11,4,0,5,2,0,0,0,0,0
ṪѦ DerHesse1505,296684579,56691250,12811631,14473300,16452957,12953362,5,5,5,3,63,16,19,17,11,3,4,4,4,1,4,4,4,4,3,0,4,4,4,4,1,4,4,0,0,3,0,18,6,3,4,5,1,1,0,0,0
ìN Paca,114649229,58333972,10275761,16244157,16704457,15109597,4,5,5,4,63,16,20,15,12,4,4,4,4,0,4,4,4,4,4,0,3,3,4,4,1,4,4,0,1,3,0,10,1,0,2,7,0,0,0,0,0
Tommyboy85,929389526,57958039,11661064,14936834,16800120,14560021,5,5,5,5,60,12,19,17,12,2,3,4,3,0,3,4,4,4,4,0,4,4,4,4,1,3,4,0,2,3,0,59,12,30,16,1,1,1,0,0,0
Philo Beddoe,753225541,49721027,11152685,12904896,13185113,12478333,4,5,4,4,45,11,14,10,10,3,4,0,4,0,2,4,4,0,4,0,1,4,4,0,1,4,4,0,0,2,0,20,3,13,2,2,0,0,0,0,0
Loadage,268951863,62693624,13126715,15371018,16360460,17835431,5,5,5,5,70,16,20,16,18,4,4,4,3,1,4,4,4,4,4,0,3,4,4,4,1,4,4,4,2,4,0,20,5,9,3,3,2,1,1,0,0
