name,allyCode,shipGP,characterGP,territoryPointsContributed,platoonMissionUnitsAssigned,combatMissionWavesCompleted,rogueActions,currentRoundTerritoryPoints,currentRoundGpDeployed,currentRoundCombatMissions,currentRoundSpecialMissions,deployedShips,deployedCharacters,playerPlatoonedShipGp,playerPlatoonedCombatGp,missionsCharacters,missionsShips,minEstimatedCombatDeploymentRemaining,minEstimatedShipDeploymentRemaining,unknownDeploymentPowerRemaining,Ch 1,Ch 2,Ch 3,Ch 4,Fl 1
Doomslug the Destroyer,549766237,1725387,2309468,9871650,8,5,0,4440525,4037525,3,0,TRUE,TRUE,153835,40524,FALSE,FALSE,0,0,0,1,,,,
Larping Soccer Moms,962753997,1471558,1905189,11015629,9,11,0,5434332,3379332,4,0,TRUE,TRUE,0,90316,FALSE,TRUE,0,0,0,4,,,,1
Zhil Axfow,826592934,2751350,3456292,14670236,9,7,0,7485816,6208316,5,0,TRUE,TRUE,45142,31006,TRUE,TRUE,0,0,0,2,0,2,0,0
Elros Halfelven,592184954,2600194,3590257,21223302,2,26,0,11429951,6190451,5,0,TRUE,TRUE,0,0,TRUE,TRUE,0,0,0,4,4,3,3,1
Plucky Haydon,924737972,2476433,3488765,19259827,14,19,0,9308229,5975729,5,0,TRUE,TRUE,0,91137,TRUE,TRUE,0,0,0,0,0,0,0,0
Philo Beddoe,753225541,2520911,3222066,15178345,5,9,0,7761777,5754777,4,0,TRUE,TRUE,50194,60239,FALSE,TRUE,0,0,0,1,,2,,1
Loadage,268951863,2433938,3119372,19342749,15,24,0,9821540,5596790,5,0,TRUE,TRUE,176418,53891,TRUE,TRUE,0,0,0,4,4,3,0,1
BabyYodaHitta,629856937,1161123,1686711,5403190,17,4,0,1981856,1408356,2,0,TRUE,FALSE,86271,157944,FALSE,FALSE,1439478,0,0,2,,,,
s o l o,334171458,3160168,4523157,26151619,33,32,0,12975560,7688810,5,0,TRUE,TRUE,562180,284554,TRUE,TRUE,0,0,0,3,4,3,4,1
MINI xipokemastrix,242144976,1689438,2425718,10851416,25,8,0,5168045,4160545,3,0,TRUE,TRUE,203415,125938,FALSE,FALSE,0,0,0,2,,1,,
TacoPizza,797491243,2040739,3062690,16195315,5,17,0,8317950,5107950,3,0,TRUE,TRUE,72436,5536,FALSE,TRUE,0,0,0,4,4,,,1
GANIC,357417789,1868163,2855966,16866494,8,21,0,9082111,4738361,5,0,TRUE,TRUE,0,71687,TRUE,TRUE,0,0,0,3,4,1,3,1
Ben8cv,331225772,2637321,3501961,9147336,12,8,0,0,0,0,0,FALSE,FALSE,0,88393,FALSE,FALSE,3501961,2637321,0,,,,,
Heywood Jablowme,677183999,2776890,4083197,23608437,33,29,0,11569377,6863377,5,0,TRUE,TRUE,94644,188562,TRUE,TRUE,0,0,0,3,4,1,4,1
Obi Won Sebroni,247341668,1329600,2126424,7828115,23,2,1,3919035,3516035,3,0,TRUE,TRUE,167529,171105,FALSE,FALSE,0,0,0,1,,,,
Masajj Vemtits,596537312,2460302,3397770,16399476,4,13,0,8185738,5872238,3,0,TRUE,TRUE,0,62483,FALSE,TRUE,0,0,0,2,3,,,1
AKB,461667365,2381904,3415767,18251863,3,20,0,8995710,5817710,5,0,TRUE,TRUE,12876,0,TRUE,TRUE,0,0,0,4,4,1,1,0
Zlada14,825875376,2564534,3456085,14289133,30,16,0,9126119,6020619,5,0,TRUE,TRUE,0,145556,TRUE,TRUE,0,0,0,2,4,4,0,0
Agave,148199846,2471315,3312695,16825082,27,23,0,6702611,3058611,4,0,TRUE,FALSE,434184,118859,FALSE,TRUE,2725399,0,0,4,4,1,,1
ONE,873729113,2533060,3648446,12890735,3,1,0,6185644,6185644,3,0,TRUE,TRUE,74901,0,FALSE,FALSE,0,0,0,,,,,
LGuy 21,261187434,2570717,3635739,21084209,22,25,0,10852110,6238360,5,0,TRUE,TRUE,348766,190840,TRUE,TRUE,0,0,0,3,4,2,3,1
Theflavorgreen,416984533,1975484,3140922,11735118,8,4,0,5690767,5117267,4,0,TRUE,TRUE,49620,29593,FALSE,FALSE,0,0,0,2,,,,
OttoVonGens,994659641,2796514,4129373,21821674,15,23,0,12213031,6926281,5,0,TRUE,TRUE,0,133126,TRUE,TRUE,0,0,0,3,4,3,4,1
Argarax,545871634,1842682,2934221,17250113,11,22,0,9729752,4805252,5,0,TRUE,TRUE,73433,84262,TRUE,TRUE,0,0,0,3,4,3,3,1
MINI Stewabob,552522334,1337513,1977188,12195159,11,15,0,7193795,3327795,4,0,TRUE,TRUE,0,65769,FALSE,TRUE,0,0,0,,,,,0
Baxston Kane,473373554,2704374,3800954,19403346,2,20,0,9082772,6510022,4,0,TRUE,TRUE,73627,0,FALSE,FALSE,0,0,0,1,4,3,,
Neeb,648797678,2342430,3395654,12573998,10,3,0,5738830,5738830,4,0,TRUE,TRUE,185583,27822,FALSE,FALSE,0,0,0,,,,,
PadawanTano,584733846,1150025,1613737,8769155,10,12,0,4058095,1569095,4,0,TRUE,FALSE,68088,75159,FALSE,TRUE,1194667,0,0,4,,1,,1
Promethean,245711569,2250505,3125945,16111550,7,16,0,8653200,5376450,5,0,TRUE,TRUE,119564,9055,TRUE,TRUE,0,0,0,1,4,2,3,0
EvilCoyote2011,997394645,2333222,3556536,11499641,10,7,5,4244735,2771235,3,0,TRUE,FALSE,0,145570,FALSE,TRUE,3118523,0,0,2,,,,1
Exeel,184344456,2651596,3582050,19383077,11,20,0,9131217,6236217,3,0,TRUE,TRUE,305269,23256,FALSE,TRUE,0,0,0,3,4,,,1
Guntha Arbos,248271439,2538084,3655919,12477596,3,8,0,4952650,3100900,4,0,TRUE,FALSE,62202,53084,FALSE,FALSE,3093103,0,0,1,,1,3,
Flywire,515621617,2249651,3209240,17389803,5,19,1,9680673,5455923,5,0,TRUE,TRUE,0,42619,TRUE,TRUE,0,0,0,4,4,3,0,1
Kypomm,631928359,2680873,3689556,15579591,5,7,0,7845755,6372255,3,0,TRUE,TRUE,112569,0,FALSE,TRUE,0,0,0,2,,,,1
Dark Penguin,894569678,1818477,2394696,11809779,8,9,0,6273939,4218939,4,0,TRUE,TRUE,0,41113,FALSE,TRUE,0,0,0,4,,,,1
Gryphix,997239157,2727164,3887521,19894714,0,20,0,11280435,6621685,5,0,TRUE,TRUE,0,0,TRUE,TRUE,0,0,0,4,4,1,3,1
JJ Bolte,274817496,2398666,3185962,17371020,7,19,0,8383060,5629060,3,0,TRUE,TRUE,160928,32236,FALSE,FALSE,0,0,0,,,4,4,
Higgs,265535499,2249778,3148479,13534322,0,9,0,6989161,5400911,4,0,TRUE,TRUE,0,0,FALSE,FALSE,0,0,0,2,,3,,
MINICalens,499477827,2379426,3603936,19307049,2,23,0,9420867,5977117,5,0,TRUE,TRUE,108765,0,TRUE,TRUE,0,0,0,3,4,1,3,0
M1TTH,124849497,1977120,2522357,13026604,0,10,0,6848227,4499477,3,0,TRUE,TRUE,0,0,FALSE,TRUE,0,0,0,,,1,3,1
Wolfman314,144353549,2640419,3556616,17665597,2,15,0,8110156,6195406,3,0,TRUE,TRUE,107590,0,FALSE,TRUE,0,0,0,,,3,,1
The Wall,947443938,1955800,3009558,11597568,0,13,0,5266305,2522305,5,0,TRUE,FALSE,0,0,TRUE,TRUE,2443053,0,0,4,4,1,0,0
ilekkund,214848174,2964238,4170099,23842984,4,29,0,12372484,7132984,5,0,TRUE,TRUE,135426,11835,TRUE,TRUE,0,0,0,4,4,3,3,1
ilekkund2,148163689,2079400,2598876,16264252,9,20,1,8321526,4678276,4,0,TRUE,TRUE,56966,77057,FALSE,TRUE,0,0,0,2,4,3,,1
joker,976597667,1975254,2991053,11297367,1,3,0,5404115,4970115,3,0,TRUE,TRUE,0,28641,FALSE,FALSE,0,0,0,,,1,,
wamakima5004,556569861,2548963,3498861,18325318,0,26,0,7853244,3147244,5,0,TRUE,FALSE,0,0,TRUE,TRUE,2900580,0,0,3,4,1,4,1
SloppySaberFlavor,671337993,2350393,3400231,17350718,2,19,1,8763698,5753948,5,0,TRUE,TRUE,0,64936,TRUE,TRUE,0,0,0,3,4,3,0,0
Chaunce,492994246,2750942,3641832,21217730,0,24,0,10539893,6408143,5,0,TRUE,TRUE,0,0,TRUE,TRUE,0,0,0,3,0,3,4,1
ShootMeow,118543169,2628758,3630363,16323397,0,12,0,7817276,6259276,3,0,TRUE,TRUE,0,0,FALSE,FALSE,0,0,0,1,4,,,
Maxaron Lexilon,591283737,2789280,3609613,17488148,0,14,0,9322135,6401135,4,0,TRUE,TRUE,0,0,FALSE,FALSE,0,0,0,3,,2,4,
