name,allyCode,shipGP,characterGP,territoryPointsContributed,platoonMissionUnitsAssigned,combatMissionWavesCompleted,rogueActions,currentRoundTerritoryPoints,currentRoundGpDeployed,currentRoundCombatMissions,currentRoundSpecialMissions,deployedShips,deployedCharacters,playerPlatoonedShipGp,playerPlatoonedCombatGp,missionsCharacters,missionsShips,minEstimatedCombatDeploymentRemaining,minEstimatedShipDeploymentRemaining,unknownDeploymentPowerRemaining,Ch 1,Ch 2,Ch 3,Ch 4,Ch 5,Fl 1
Doomslug the Destroyer,549766237,1725387,2309468,17162950,10,10,0,7291300,4042550,4,1,TRUE,TRUE,0,37636,FALSE,TRUE,0,0,0,1,3,,,,1
Larping Soccer Moms,962753997,1471558,1905189,19231249,11,24,1,8215620,3381270,5,1,TRUE,TRUE,0,68922,FALSE,FALSE,0,0,0,3,3,3,,4,
Zhil Axfow,826592934,2751350,3456292,19143263,11,10,0,4473027,3458277,2,0,TRUE,FALSE,0,57304,FALSE,FALSE,2749365,0,0,3,,,,,
Elros Halfelven,592184954,2600194,3590257,34351121,12,45,0,13127819,6191969,5,1,TRUE,TRUE,0,160176,TRUE,FALSE,0,0,0,3,4,4,4,4,
Plucky Haydon,924737972,2476433,3488765,25690797,15,26,0,6430970,4039220,2,1,TRUE,FALSE,0,32058,FALSE,FALSE,1925978,0,0,3,4,,,,
Philo Beddoe,753225541,2520911,3222066,23701092,5,16,0,8522747,5754822,3,1,TRUE,TRUE,0,60239,FALSE,FALSE,0,0,0,1,3,,,3,
Loadage,268951863,2433938,3119372,29718374,18,37,1,10375625,5598450,4,1,TRUE,TRUE,0,50874,FALSE,FALSE,0,0,0,2,4,4,,3,
BabyYodaHitta,629856937,1161123,1686711,9283468,17,7,0,3880278,2865528,1,0,TRUE,TRUE,0,86213,FALSE,FALSE,0,0,0,3,,,,,
s o l o,334171458,3160168,4523157,40338473,35,50,0,14186854,7721929,6,1,TRUE,TRUE,0,290238,TRUE,TRUE,0,0,0,3,4,4,4,3,0
MINI xipokemastrix,242144976,1689438,2425718,15053485,35,12,0,4202069,2825069,2,1,TRUE,FALSE,0,190173,FALSE,FALSE,1290087,0,0,4,,,,,
TacoPizza,797491243,2040739,3062690,22067051,6,24,0,5871736,3479986,2,1,TRUE,FALSE,0,29009,FALSE,FALSE,1623443,0,0,3,4,,,,
GANIC,357417789,1868163,2855966,24700621,10,30,0,7834127,4738377,5,1,TRUE,TRUE,0,43548,FALSE,FALSE,0,0,0,2,3,4,,,
Ben8cv,331225772,2637321,3501961,20390333,12,22,0,11242997,6155072,6,1,TRUE,TRUE,0,0,TRUE,TRUE,0,0,0,3,4,4,0,3,0
Heywood Jablowme,677183999,2776890,4083197,34183834,33,39,0,10575397,6864472,3,1,TRUE,TRUE,0,14215,FALSE,FALSE,0,0,0,3,4,,,3,
Obi Won Sebroni,247341668,1329600,2126424,12362229,27,5,1,4534114,3519364,3,0,TRUE,TRUE,0,95674,FALSE,FALSE,0,0,0,3,,,,,
Masajj Vemtits,596537312,2460302,3397770,16559211,4,13,0,159735,159735,1,0,FALSE,FALSE,0,29479,FALSE,FALSE,3238035,2300567,159735,,,,,,
AKB,461667365,2381904,3415767,27812092,3,30,0,9560229,5819279,6,1,TRUE,TRUE,0,0,TRUE,TRUE,0,0,0,1,3,4,0,2,0
Zlada14,825875376,2564534,3456085,17830173,30,18,0,3541040,2625840,1,1,TRUE,FALSE,0,0,FALSE,FALSE,3394779,0,0,,,,,2,
Agave,148199846,2471315,3312695,29536446,27,38,0,12711364,5793414,6,1,TRUE,TRUE,0,118859,TRUE,TRUE,0,0,0,1,3,4,4,2,1
ONE,873729113,2533060,3648446,19510379,3,2,0,6619644,6185644,4,1,TRUE,TRUE,0,0,FALSE,FALSE,0,0,0,1,,,,,
LGuy 21,261187434,2570717,3635739,27570437,22,31,0,6486228,4111028,3,1,TRUE,FALSE,0,190840,FALSE,FALSE,2095428,0,0,1,4,,,1,
Theflavorgreen,416984533,1975484,3140922,17993236,9,7,0,6258118,5120118,3,0,TRUE,TRUE,0,21576,FALSE,FALSE,0,0,0,1,2,,,,
OttoVonGens,994659641,2796514,4129373,33744654,15,43,0,11922980,4624880,5,1,TRUE,FALSE,0,26799,TRUE,FALSE,2301007,0,0,4,4,4,4,4,
