Name,Ally Code,Territory Points Total,Territory Points Phase 1,Territory Points Phase 2,Territory Points Phase 3,Territory Points Phase 4,Mission Attempts Phase 1,Mission Attempts Phase 2,Mission Attempts Phase 3,Mission Attempts Phase 4,Mission Waves Total,Mission Waves Phase 1,Mission Waves Phase 2,Mission Waves Phase 3,Mission Waves Phase 4,P1 Ground 403000_573500_840000_1155000 [1],P1 Ground 403000_573500_840000_1155000 [2],P1 Ground 403000_573500_840000_1155000 [3],P1 Ground 523900_745550_1092000_1501500 [1],P1 Fleet 523900 [1],P2 Ground 434000_704000_1014750_1377000 [1],P2 Ground 434000_704000_1014750_1377000 [2],P2 Ground 434000_704000_1014750_1377000 [3],P2 Ground 434000_704000_1014750_1377000 [4],P2 Ground 564200_915200_1319175_1790100 [1],P2 Fleet 900000 [1],P3 Ground 464000_775500_1105000_1627500 [1],P3 Ground 464000_775500_1105000_1627500 [2],P3 Ground 464000_775500_1105000_1627500 [3],P3 Ground 603200_1008150_1436500_2115750 [1],P3 Fleet 1800000 [1],P4 Ground 511500_867000_1242500_1837500 [1],P4 Ground 511500_867000_1242500_1837500 [2],P4 Ground 511500_867000_1242500_1837500 [3],P4 Ground 867000_1837500 [1],P4 Ground 664950_1127100_1615250_2388750 [1],P4 Fleet 2750000 [1],Platoons Assigned Total,Platoons Assigned Phase 1,Platoons Assigned Phase 2,Platoons Assigned Phase 3,Platoons Assigned Phase 4,Rogue Actions Total,Rogue Actions Phase 1,Rogue Actions Phase 2,Rogue Actions Phase 3,Rogue Actions Phase 4
Obi Won Sebroni,247341668,51395622,11766380,12345420,14565475,12718347,5,5,5,5,63,17,17,16,13,4,4,4,4,1,3,4,4,4,2,0,3,4,4,4,1,2,3,4,1,3,0,24,5,2,5,12,0,0,0,0,0
BladeBR,354754647,60800918,13700182,13579434,16808023,16713279,5,5,5,6,62,16,14,16,16,3,4,4,4,1,4,4,4,0,2,0,3,4,4,4,1,3,4,4,1,4,0,13,5,2,3,3,1,0,0,0,1
Ky Zeth,615713739,44187827,8635398,16156018,7558010,11838401,3,6,4,4,44,9,20,9,6,4,4,0,0,1,4,4,4,4,4,0,2,3,4,0,0,2,3,0,1,0,0,10,4,5,1,0,2,0,1,0,1
MarkKenoburger,513125742,48827266,11042432,9228622,14789501,13766711,5,5,5,5,62,16,14,17,15,4,4,4,3,1,3,4,4,0,3,0,4,4,4,4,1,3,3,4,2,3,0,2,1,0,0,1,0,0,0,0,0
Jed1Mast3rDallas,484789943,42695085,6395723,7241853,15412708,13644801,2,5,5,5,57,8,18,17,14,4,4,0,0,0,3,3,4,4,4,0,4,4,4,4,1,2,4,4,1,3,0,19,3,0,4,12,0,0,0,0,0
Tommyboy85,929389526,58358754,12404071,14827628,15646103,15480952,5,5,5,5,63,14,19,15,15,4,4,4,1,1,3,4,4,4,4,0,3,3,4,4,1,3,3,4,1,4,0,43,25,3,13,2,0,0,0,0,0
ilekkund,214848174,60367627,13896396,14167831,16435128,15868272,5,5,5,5,60,16,15,15,14,3,4,4,4,1,1,4,4,4,2,0,3,3,4,4,1,3,3,3,2,3,0,43,9,16,0,18,0,0,0,0,0
OttoVonGens,994659641,60247667,13798818,14074187,15742699,16631963,5,5,5,6,59,16,15,13,15,3,4,4,4,1,4,4,4,0,3,0,1,3,4,4,1,2,4,4,2,3,0,48,30,7,5,6,0,0,0,0,0
Argarax,545871634,55122857,9011056,14299329,15304905,16507567,4,5,5,6,64,13,19,15,17,2,3,4,4,0,3,4,4,4,4,0,2,4,4,4,1,3,4,4,2,4,0,20,12,0,5,3,0,0,0,0,0
Japolock,137256197,58367275,14339870,14860645,14426109,14740651,5,5,5,6,58,17,17,13,11,4,4,4,4,1,3,4,4,4,2,0,2,3,4,4,0,3,3,0,2,3,0,39,19,2,16,2,0,0,0,0,0
