Name,AllyCode,currentTickets,lifetimeTickets,averageTickets,6-Mar-22,4-Mar-22,2-Mar-22,1-Mar-22,28-Feb-22,27-Feb-22,26-Feb-22
MINI xipokemastrix,242144976,600,406112,597,600,600,600,600,600,600,600
Higgs,265535499,578,301016,582,600,600,600,600,600,600,600
AKB,461667365,232,278156,556,600,600,600,600,600,600,600
Baxston Kane,473373554,600,299626,592,600,600,600,600,600,600,600
ONE,873729113,600,304680,599,600,600,600,600,600,600,600
Dark Penguin,894569678,600,298366,599,600,600,600,600,600,600,600
Maxaron Lexilon,591283737,600,298124,592,600,600,600,600,600,600,600
Promethean,245711569,600,299236,591,600,600,600,600,600,600,600
Wolfman314,144353549,544,277436,593,600,600,600,600,600,600,600
BabyYodaHitta,629856937,404,256224,585,600,600,600,600,600,600,600
Obi Won Sebroni,247341668,600,269170,597,600,600,600,600,600,600,600
MINI Stewabob,552522334,556,252866,596,600,600,600,600,600,600,600
Guntha Arbos,248271439,600,250698,597,600,600,600,600,600,600,600
Philo Beddoe,753225541,564,246894,598,600,600,600,600,600,600,600
Calens,499477827,0,243114,589,600,600,600,600,600,600,600
SloppySaberFlavor,671337993,600,222636,569,600,600,600,600,600,600,600
Zhil Axfow,826592934,600,238770,599,600,600,600,600,600,600,600
Masajj Vemtits,596537312,288,218596,594,600,600,600,600,600,600,600
ilekkund2,148163689,600,216536,585,600,600,600,600,600,600,600
M1TTH,124849497,600,180516,574,600,600,600,600,600,600,600
TacoPizza,797491243,362,172212,588,600,600,600,356,600,600,356
Theflavorgreen,416984533,600,161666,596,600,600,600,600,600,600,600
ShootMeow,118543169,600,156478,594,600,600,600,600,600,600,600
OttoVonGens,994659641,600,134870,594,600,600,600,600,600,600,600
Chaunce,492994246,600,132532,583,600,600,600,600,600,600,600
wamakima5004,556569861,600,128438,564,600,600,600,600,600,600,600
Gryphix,997239157,600,133030,587,600,600,600,600,600,600,600
ilekkund,214848174,600,131816,582,600,600,600,600,600,600,600
EvilCoyote2011,997394645,600,107000,579,600,600,600,600,600,600,600
joker,976597667,600,96338,518,600,600,600,600,600,600,600
Tommyboy85,929389526,600,95400,600,600,600,600,600,600,600,600
JustinAlexander11,283842274,270,87564,556,600,600,600,140,600,600,406
Larping Soccer Moms,962753997,600,85632,589,600,600,600,600,600,600,600
Argarax,545871634,120,85068,588,600,600,470,600,600,600,600
Sultan2309,938542548,180,73266,593,600,600,600,600,600,600,600
MarkKenoburger,513125742,600,65896,599,600,600,600,600,600,600,600
Tel Nadda,427553566,438,58268,586,600,600,600,600,600,600,600
Wil043,635417488,600,58748,593,600,600,600,600,600,600,600
Stargun inoza,992275427,600,38940,599,600,600,600,600,600,600,600
MINI Zeratoark,552854579,140,32540,600,600,600,600,600,600,600,600
Bitz Maidenhell,589218854,336,25250,551,600,600,600,600,600,600,600
KaStarkiller,222784581,572,23972,600,600,600,600,600,600,600,600
Nom,884121445,600,24000,600,600,600,600,600,600,600,600
TWill88,494485598,600,10540,514,0,600,140,600,600,600,600
Loadage,268951863,600,3000,600,600,600,-,-,-,-,600
Sasabomish,352986215,600,600,0,-,-,-,-,-,-,-
Robcan,523883192,600,600,0,-,-,-,-,-,-,-
Komitadji,231363518,600,600,600,-,-,-,-,-,-,-
Epsil0n Actual,933247321,586,586,0,-,-,-,-,-,-,-
Gmosabi β 0296 on Discord,824369415,90,90,0,-,-,-,-,-,-,-
