Name,AllyCode,currentTickets,lifetimeTickets,averageTickets,13-Feb-22,12-Feb-22,11-Feb-22,10-Feb-22,9-Feb-22,7-Feb-22,6-Feb-22
MINI xipokemastrix,242144976,600,393512,597,600,600,600,600,600,600,600
Higgs,265535499,600,288438,581,600,600,600,600,474,600,600
AKB,461667365,598,266522,555,600,60,600,292,600,184,244
Baxston Kane,473373554,600,287026,591,600,600,600,600,600,600,600
ONE,873729113,600,292080,599,600,600,600,600,600,600,600
Dark Penguin,894569678,600,285766,599,600,600,600,600,600,600,600
Maxaron Lexilon,591283737,492,286060,594,534,600,600,592,588,600,600
Promethean,245711569,600,286636,590,600,600,600,600,600,600,600
Wolfman314,144353549,560,264852,592,600,600,600,600,600,600,600
BabyYodaHitta,629856937,70,243820,586,600,600,600,600,600,600,600
Obi Won Sebroni,247341668,600,256570,596,600,600,600,600,600,600,600
MINI Stewabob,552522334,600,240394,596,600,600,600,320,600,600,600
Guntha Arbos,248271439,600,238098,596,600,600,600,600,600,600,600
Philo Beddoe,753225541,600,234330,598,600,600,600,600,600,600,600
Calens,499477827,454,231508,591,600,600,600,600,600,600,600
SloppySaberFlavor,671337993,356,209792,567,600,600,600,600,600,600,600
Zhil Axfow,826592934,600,226170,599,600,600,600,600,600,600,600
Masajj Vemtits,596537312,600,206308,594,600,600,600,600,600,600,600
ilekkund2,148163689,600,203936,584,600,600,600,600,600,600,600
M1TTH,124849497,0,168052,574,600,600,600,600,600,600,600
Loadage,268951863,600,173400,600,600,600,600,600,600,600,600
TacoPizza,797491243,356,160492,591,600,600,506,466,600,386,600
Theflavorgreen,416984533,600,149066,596,600,600,468,600,600,600,600
ShootMeow,118543169,434,143712,594,600,600,600,584,600,600,600
OttoVonGens,994659641,600,122270,593,600,600,600,600,600,600,600
Chaunce,492994246,600,120532,584,600,600,600,600,600,600,600
wamakima5004,556569861,600,115910,561,600,600,320,600,600,600,600
Gryphix,997239157,600,120430,586,600,600,600,600,600,600,600
ilekkund,214848174,600,119216,581,600,600,600,600,600,600,600
Agave,148199846,600,117560,573,600,600,600,600,530,600,600
Zlada14,825875376,304,112476,554,600,600,600,600,600,600,600
EvilCoyote2011,997394645,600,94400,576,600,600,600,566,600,600,600
joker,976597667,0,84258,516,600,600,344,600,478,600,600
Tommyboy85,929389526,600,82800,600,600,600,600,600,600,600,600
JustinAlexander11,283842274,600,77050,561,600,600,270,600,600,600,600
Revanche Gilder,926679294,600,82184,599,600,600,600,600,600,600,600
Larping Soccer Moms,962753997,600,73032,589,600,600,600,600,600,600,600
Flywire,515621617,600,72940,592,600,600,600,600,600,600,572
Argarax,545871634,400,72898,587,600,600,600,600,600,600,600
Sultan2309,938542548,290,60776,592,600,600,600,600,600,600,600
MarkKenoburger,513125742,600,53296,598,600,600,600,600,600,600,600
Tel Nadda,427553566,446,46072,584,600,600,600,256,600,600,600
Wil043,635417488,600,46148,592,600,600,600,600,600,600,600
denkrob,592184954,600,41794,586,600,600,600,600,600,600,600
Stargun inoza,992275427,600,26340,598,600,600,600,600,600,600,600
MINI Zeratoark,552854579,348,20148,600,600,600,600,600,600,600,600
Bitz Maidenhell,589218854,600,12914,513,600,600,484,600,600,0,140
KaStarkiller,222784581,144,10944,600,600,600,600,600,600,600,600
Nom,884121445,600,11400,600,600,600,600,600,600,600,600
Komitadji,231363518,182,782,600,600,-,600,600,600,600,600
