Name,AllyCode,currentTickets,lifetimeTickets,averageTickets,29-Mar-22,28-Mar-22,26-Mar-22,25-Mar-22,24-Mar-22,23-Mar-22,22-Mar-22
MINI xipokemastrix,242144976,120,419432,597,600,600,600,600,600,600,600
Higgs,265535499,0,313904,582,600,600,376,600,600,490,600
AKB,461667365,0,289580,553,600,240,600,372,600,600,600
Baxston Kane,473373554,572,308598,577,600,600,0,0,0,0,0
ONE,873729113,600,318480,599,600,600,600,600,600,600,600
Dark Penguin,894569678,0,311530,599,600,600,600,600,600,600,600
Maxaron Lexilon,591283737,124,311320,592,600,600,600,600,600,600,600
Promethean,245711569,172,312608,591,600,600,600,600,600,600,600
Wolfman314,144353549,160,290652,592,400,600,600,600,600,600,600
BabyYodaHitta,629856937,516,269574,584,408,600,436,600,600,600,600
Obi Won Sebroni,247341668,130,282188,596,600,600,600,600,600,600,600
MINI Stewabob,552522334,0,266106,597,600,600,600,600,600,600,600
Guntha Arbos,248271439,190,264088,597,600,600,600,600,600,600,600
Philo Beddoe,753225541,0,260130,598,600,600,600,600,600,600,600
Calens,499477827,400,256826,589,600,600,600,600,600,112,600
SloppySaberFlavor,671337993,526,235862,570,600,600,600,600,600,600,600
Zhil Axfow,826592934,588,252548,599,600,600,600,600,600,590,600
Masajj Vemtits,596537312,36,231972,594,600,600,600,600,600,600,600
ilekkund2,148163689,0,229398,585,600,600,600,600,600,600,600
M1TTH,124849497,600,191876,568,600,0,600,0,600,600,600
TacoPizza,797491243,0,185212,587,600,600,600,600,600,600,600
Theflavorgreen,416984533,0,174866,596,600,600,600,600,600,600,600
ShootMeow,118543169,0,169678,595,600,600,600,600,600,600,600
OttoVonGens,994659641,224,148210,594,600,600,600,516,600,600,600
Chaunce,492994246,238,145930,584,600,600,560,600,600,600,600
wamakima5004,556569861,600,141960,566,600,600,600,600,600,600,600
Gryphix,997239157,514,146744,588,600,600,600,600,600,600,600
EvilCoyote2011,997394645,0,120196,581,600,600,600,600,600,600,600
joker,976597667,0,107728,521,600,0,540,600,100,600,600
Tommyboy85,929389526,600,109200,600,600,600,600,600,600,600,600
JustinAlexander11,283842274,70,100408,557,600,600,392,600,600,600,600
Larping Soccer Moms,962753997,598,99430,590,600,600,600,600,600,600,600
Argarax,545871634,0,98344,588,600,600,600,600,600,600,600
Sultan2309,938542548,60,86716,592,600,600,600,600,600,600,600
MarkKenoburger,513125742,280,79376,599,600,600,600,600,600,600,600
Tel Nadda,427553566,64,71066,583,574,600,600,452,510,520,516
Wil043,635417488,172,72120,594,600,600,600,600,600,600,600
Stargun inoza,992275427,128,52268,599,600,600,600,600,600,600,600
MINI Zeratoark,552854579,600,46800,600,600,600,600,600,600,600,600
Bitz Maidenhell,589218854,0,38530,565,600,600,600,600,600,600,600
KaStarkiller,222784581,0,37136,598,600,600,600,600,600,596,600
Nom,884121445,600,37800,600,600,600,600,600,600,600,600
TWill88,494485598,0,22176,522,600,600,600,0,600,600,600
Loadage,268951863,70,16270,600,600,600,600,600,600,600,600
Flywire,515621617,0,9328,592,600,600,600,600,600,600,600
ilekkund,214848174,0,9596,583,600,600,600,600,600,596,600
Agave,148199846,0,9288,576,516,600,600,600,600,600,600
Zlada14,825875376,204,9804,560,600,600,600,600,600,600,600
JacenCaedus,634487631,0,9236,575,236,600,600,600,600,600,600
PluntsNBussy,837163221,548,7148,600,600,600,600,600,600,600,600
