Name,AllyCode,currentTickets,lifetimeTickets,averageTickets,8-Jun-22,7-Jun-22,6-Jun-22,5-Jun-22,4-Jun-22,3-Jun-22,2-Jun-22
MINI xipokemastrix,242144976,600,462320,597,600,600,600,600,600,600,600
Higgs,265535499,600,354814,579,600,600,600,230,600,600,600
Baxston Kane,473373554,600,351012,580,600,600,600,600,600,600,600
Maxaron Lexilon,591283737,558,353704,592,600,600,600,600,600,600,600
Promethean,245711569,600,355636,593,600,600,600,600,600,600,600
Wolfman314,144353549,600,333156,592,600,600,600,600,600,600,600
Obi Won Sebroni,247341668,600,324876,595,600,600,600,600,600,600,600
MINI Stewabob,552522334,600,307750,594,600,600,600,600,284,600,600
Guntha Arbos,248271439,600,307098,597,600,600,600,600,600,600,600
Philo Beddoe,753225541,600,303330,599,600,600,600,600,600,600,600
SloppySaberFlavor,671337993,600,276098,569,388,600,600,600,600,568,600
Masajj Vemtits,596537312,600,274796,594,600,600,600,600,600,574,600
ilekkund2,148163689,400,271730,586,600,600,600,600,600,408,600
TacoPizza,797491243,600,227406,588,600,600,600,600,600,600,600
OttoVonGens,994659641,600,190744,594,600,600,600,600,392,600,526
Chaunce,492994246,600,188728,587,600,600,600,600,600,600,600
wamakima5004,556569861,600,182616,568,600,546,600,600,316,600,486
Gryphix,997239157,600,189430,591,600,600,600,600,600,600,600
joker,976597667,600,141304,505,600,496,600,460,0,0,600
Tommyboy85,929389526,600,151800,600,600,600,600,600,600,600,600
JustinAlexander11,283842274,210,138956,551,600,600,600,180,600,600,270
Argarax,545871634,600,140406,587,600,600,600,600,600,600,600
MarkKenoburger,513125742,600,122296,599,600,600,600,600,600,600,600
Stargun inoza,992275427,600,95340,599,600,600,600,600,600,600,600
MINI Zeratoark,552854579,600,89400,600,600,600,600,600,600,600,600
Bitz Maidenhell,589218854,380,78276,564,600,600,600,600,600,600,600
KaStarkiller,222784581,600,79690,594,600,600,566,600,600,600,600
Nom,884121445,600,80400,600,600,600,600,600,600,600,600
TWill88,494485598,0,62872,548,600,592,600,596,600,600,592
Loadage,268951863,600,59400,600,600,600,600,600,600,600,600
Flywire,515621617,600,50572,589,600,600,600,600,600,464,600
ilekkund,214848174,600,52616,586,600,600,600,600,600,420,600
Zlada14,825875376,600,52180,567,600,600,600,600,600,600,600
CrossHairFinnOGDarktrooper,281246885,480,31416,485,540,600,600,600,392,600,600
PluntsNBussy,837163221,488,27368,546,204,600,510,600,600,430,600
CDangerz,998573883,600,23400,600,600,600,600,600,600,600,600
BigMacDbag,931355241,600,22800,583,600,600,600,600,600,600,600
Agave,148199846,600,16172,578,600,600,600,564,600,600,206
Zhil Axfow,826592934,600,16200,599,600,600,600,600,600,600,600
JacenCaedus,634487631,600,16800,595,600,600,600,600,600,600,600
s o l o,334171458,600,16200,599,600,600,600,600,600,600,600
B417,667457171,600,16200,600,600,600,600,600,600,600,600
Revanchist,852762117,600,7200,600,600,600,600,600,600,600,600
Raion Ren,619572297,600,7200,600,600,600,600,600,600,600,600
Jed1Mast3rDallas,484789943,600,6748,558,600,600,600,600,522,600,600
Tornado,975827772,600,7200,600,600,600,600,600,600,600,600
Loso,642554734,600,5400,600,600,600,600,600,600,600,600
Tel Nadda,427553566,600,5396,584,600,600,600,600,600,600,596
SilentVader,667756347,600,5400,600,600,600,600,600,600,600,600
Sanctify,641955312,600,2316,572,600,516,600,-,-,-,-
